,Mean,Std,Lower CI value,Higher CI value
Energy,0.0041318473916572285,0.6057660605437963,-41.56426160470583,42.39063108303727
Kurtosis,-0.04109276039951795,0.2700915796128226,-22.82566761354188,14.60711553363829
Mean,0.005557099350813069,0.3342274084127337,-22.605067825729563,23.716487695892173
Median,0.04710306624678191,0.4012603888282578,-23.095619687598973,32.516232936955355
Minimum,-0.03742621589476517,0.10313025473727004,-10.88918363155805,3.403940452605015
RootMeanSquared,-0.00046425698216594896,0.3058066738628372,-21.237747034627077,21.144895638193887
Skewness,-0.00806181022801257,0.2054036300864265,-15.039926394816899,13.427564349214382
TotalEnergy,0.004225388400783375,0.6055229827773416,-41.53806307396566,42.38314075412234
Uniformity,-0.04387871558070444,0.22855116943680479,-20.22565957024471,11.44991645410382
ClusterProminence,-0.1897123718169504,0.7395125978780116,-70.21684570947244,32.27437134608236
ClusterShade,-0.1411901990206175,0.6433970652179597,-58.704161827553726,30.46612202343023
Contrast,-0.23157475889714915,0.5146364596831898,-58.81996307752135,12.505011298091526
DifferenceAverage,-0.1898876058729517,0.3812472325017859,-45.40784592153565,7.430324746945308
DifferenceEntropy,-0.1262740747038899,0.24076635893606851,-29.31166492874725,4.056849987969266
Idmn,3.926822582234745e-05,0.0002580659913101931,-0.013956238237773736,0.02180988340224323
Imc1,0.04755706212857995,0.1463631322528806,-5.386741393650111,14.898153819366101
Imc2,0.0012487812850691363,0.012436413098419767,-0.7369213309750088,0.986677587988836
InverseVariance,-0.138412436452825,0.2318281160719871,-29.906112473814506,2.223625183249503
JointEnergy,0.053902447152972544,0.371073831498718,-20.323859896917284,31.104349327511795
JointEntropy,-0.0489945993507277,0.12816996609633777,-13.781185447847461,3.982265577701921
MCC,0.005769961351440527,0.01857589162316297,-0.7102474803217892,1.8642397506098947
MaximumProbability,-0.0268798472744423,0.3909469848485213,-29.779228606384965,24.403259151496503
GrayLevelNonUniformity,-0.23863523898459182,0.5145378275391863,-59.519176227394574,11.792128430476206
GrayLevelNonUniformityNormalized,0.12876194279582542,0.2830849279591425,-6.740590397155718,32.492978956320805
GrayLevelVariance,-0.22537019856290086,0.4854143541336502,-56.17451844262293,11.100478730042756
LargeAreaEmphasis,0.38445245464354694,0.7476589733422767,-13.364878082044306,90.2553690107537
LargeAreaLowGrayLevelEmphasis,-0.060199664559839855,1.020055633989081,-76.70621554214374,64.66628263017577
LowGrayLevelZoneEmphasis,-0.37794700780955703,0.7742114645903272,-91.44481809600622,15.855416534094813
SizeZoneNonUniformity,-0.419560017853123,0.6829374114567182,-89.28114991248151,5.369146341856906
SmallAreaLowGrayLevelEmphasis,-0.39454338329303185,0.8287379465268847,-96.88294806724909,17.974271408642718
ZoneEntropy,-0.0002505404703491487,0.0366854502681117,-2.5672260512703504,2.5171179572005205
ZonePercentage,-0.33720539488077095,0.6168722554101743,-76.46760587086176,9.026526894707576
ZoneVariance,0.3843998229674413,0.7476186343014735,-13.367345896743627,90.2473104902319
GrayLevelNonUniformity.1,-0.032479809799479786,0.26578519292543495,-21.665955181089863,15.169993221193906
GrayLevelVariance.1,-0.09595869523072295,0.455453860652514,-41.157211834800876,21.965472788656285
LongRunEmphasis,0.3005972684326875,0.6375037549300324,-14.1170295147367,74.23648320127421
LongRunLowGrayLevelEmphasis,-0.11081772096699367,0.8605227889733905,-70.71295904266657,48.54941484926783
RunEntropy,0.023623850774876453,0.06578533150121503,-2.196305815209541,6.921075970184831
RunLengthNonUniformity,-0.2433015463314087,0.463985495479678,-56.48270907527715,7.822399808995412
RunLengthNonUniformityNormalized,-0.1185539288254665,0.2459343044096719,-28.897770691245263,5.186984926151961
RunPercentage,-0.14152944222408712,0.2717493570373783,-32.984213910541726,4.678325465724301
RunVariance,0.30249740925917745,0.7225184358376611,-19.818232254366798,80.31771410620229
ShortRunEmphasis,-0.07960019408419564,0.16044304019719968,-19.07815485674688,3.158116039907756
Busyness,-0.21816115172552528,0.35932122944423467,-46.71580601305448,3.083575667949429
Coarseness,0.11028200621378584,0.3159042273171883,-10.8628454700865,32.919246712843666
DependenceVariance,-0.1401634780040572,0.2284237187095344,-29.845303927775024,1.8126083269635802
SmallDependenceEmphasis,-0.1960281320261094,0.4324571780075019,-49.57056671051737,10.364940305295498
SmallDependenceHighGrayLevelEmphasis,0.031189048339078387,0.6042599730460512,-38.75417497105755,44.99198463887323
Patient,0.0,0.0,0.0,0.0
