,Mean,Std,Lower CI value,Higher CI value
Minimum,0.0,0.0,0.0,0.0
JointEnergy,0.06485319147107563,0.4066817992602482,-21.69629174101508,34.6669300352302
JointEntropy,-0.004828054466219807,0.06211189112497559,-4.786939908487476,3.8213290152435153
GrayLevelVariance,-0.0011943074741001818,0.017062142219389165,-1.3017768809701562,1.06291538615012
SizeZoneNonUniformityNormalized,-0.01139643153516991,0.12405824188591642,-9.736440715279015,7.4571544082450325
SmallAreaEmphasis,-0.00612150042785148,0.06533653933157092,-5.139741224805454,3.915441139235159
SmallAreaLowGrayLevelEmphasis,0.011182547025131198,0.10685669561248136,-6.286536517598572,8.523045922624812
ZoneEntropy,0.004255119514755461,0.02526625744628134,-1.325350362120576,2.1763742650716686
GrayLevelNonUniformity.1,-0.04848802915875748,0.20931499326635242,-19.353591927855867,9.655986096104373
GrayLevelNonUniformityNormalized.1,-0.029842011980804873,0.19673310652092946,-16.61710994115526,10.648707544994283
LongRunLowGrayLevelEmphasis,0.06667867126465979,0.30291603976600434,-14.323143486708146,27.658877739640104
LowGrayLevelRunEmphasis,0.006521425129113198,0.2207712752577134,-14.646526338029917,15.950811363852555
RunEntropy,0.015206059537940467,0.045830854427791334,-1.6553102256454992,4.696522133233592
ShortRunLowGrayLevelEmphasis,-0.0024841596988912835,0.22983669594019174,-16.17528642384151,15.67845448406325
DependenceEntropy,0.013680395960062866,0.037988123658129654,-1.2644030686289391,4.000482260641512
LowGrayLevelEmphasis,0.002005018545024893,0.2370380226661378,-16.225395081672616,16.626398790677595
SmallDependenceLowGrayLevelEmphasis,-0.053733902968745625,0.42018494203575996,-34.49072123973886,23.743940645989735
Patient,0.0,0.0,0.0,0.0
